,ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,Complain,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Age
0,5524,1957,PG,Single,58138.0,04-09-2012,58,0,0,1617,1,25,58
1,2174,1954,PG,Single,46344.0,08-03-2014,38,0,2,27,0,6,61
2,4141,1965,PG,relationship,71613.0,21-08-2013,26,0,0,776,0,21,50
3,6182,1984,PG,relationship,26646.0,10-02-2014,26,0,1,53,0,8,31
4,5324,1981,PG,relationship,58293.0,19-01-2014,94,0,1,422,0,19,34
5,7446,1967,PG,relationship,62513.0,09-09-2013,16,0,1,716,0,22,48
6,965,1971,PG,Single,55635.0,13-11-2012,34,0,1,590,0,21,44
7,6177,1985,PG,relationship,33454.0,08-05-2013,32,0,1,169,0,10,30
8,4855,1974,PG,relationship,30351.0,06-06-2013,19,0,1,46,1,6,41
9,5899,1950,PG,relationship,5648.0,13-03-2014,68,0,2,49,1,2,65
10,1994,1983,PG,relationship,52247.25135379061,15-11-2013,11,0,1,19,0,4,32
11,387,1976,UG,relationship,7500.0,13-11-2012,59,0,0,61,0,6,39
12,2125,1959,PG,Single,63033.0,15-11-2013,82,0,0,1102,0,16,56
13,8180,1952,PG,Single,59354.0,15-11-2013,53,0,2,310,0,15,63
14,2569,1987,PG,relationship,17323.0,10-10-2012,38,0,0,46,0,5,28
15,2114,1946,PG,Single,82800.0,24-11-2012,23,0,0,1315,3,26,69
16,9736,1980,PG,relationship,41850.0,24-12-2012,51,0,2,96,0,9,35
17,4939,1946,PG,relationship,37760.0,31-08-2012,20,0,0,317,0,13,69
18,6565,1949,PG,relationship,76995.0,28-03-2013,91,0,1,1782,1,26,66
19,2278,1985,PG,Single,33812.0,03-11-2012,86,0,1,133,0,8,30
20,9360,1982,PG,relationship,37040.0,08-08-2012,41,0,0,316,0,12,33
21,5376,1979,PG,relationship,2447.0,06-01-2013,42,0,1,1730,0,43,36
22,1993,1949,PG,relationship,58607.0,23-12-2012,63,0,1,972,1,17,66
23,4047,1954,PG,relationship,65324.0,11-01-2014,0,0,1,544,0,20,61
24,1409,1951,PG,relationship,40689.0,18-03-2013,69,0,1,444,0,20,64
25,7892,1969,PG,Single,18589.0,02-01-2013,89,0,0,75,0,8,46
26,2404,1976,PG,relationship,53359.0,27-05-2013,4,0,2,257,0,14,39
27,5255,1986,PG,Single,52247.25135379061,20-02-2013,19,0,1,637,0,27,29
28,9422,1989,PG,relationship,38360.0,31-05-2013,26,0,1,131,0,9,26
29,1966,1965,PG,relationship,84618.0,22-11-2013,96,0,0,1672,1,26,50
30,6864,1989,PG,Single,10979.0,22-05-2014,34,0,0,30,0,8,26
31,3033,1963,PG,relationship,38620.0,11-05-2013,56,0,0,318,0,11,52
32,5710,1970,PG,relationship,40548.0,10-10-2012,31,0,1,120,1,9,45
33,7373,1952,PG,Single,46610.0,29-10-2012,8,0,2,302,1,17,63
34,8755,1946,PG,relationship,68657.0,20-02-2013,4,0,0,1196,0,18,69
35,10738,1951,PG,Single,49389.0,29-08-2013,55,0,2,65,0,6,64
36,4339,1970,PG,relationship,67353.0,31-12-2013,37,0,1,913,0,28,45
37,10755,1976,PG,relationship,23718.0,02-09-2013,76,0,1,81,0,9,39
38,8595,1973,PG,Single,42429.0,11-02-2014,99,0,1,67,0,7,42
39,2968,1943,PG,Single,48948.0,01-02-2013,53,0,0,902,2,24,72
40,8601,1980,PG,relationship,80011.0,29-04-2013,3,0,1,1395,0,21,35
41,503,1985,PG,relationship,20559.0,12-03-2013,88,0,1,53,0,7,30
42,8430,1957,PG,relationship,21994.0,24-12-2012,4,0,1,22,0,4,58
43,7281,1959,PG,Single,52247.25135379061,05-11-2013,80,0,0,186,0,9,56
44,2139,1975,PG,relationship,7500.0,02-10-2013,19,0,1,31,0,8,40
45,1371,1976,PG,Single,79941.0,28-06-2014,72,0,0,984,0,16,39
46,9909,1996,PG,relationship,7500.0,09-11-2012,24,0,0,122,1,10,19
47,7286,1968,PG,relationship,41728.0,24-05-2013,92,0,1,55,0,5,47
48,7244,1951,PG,Single,52247.25135379061,01-01-2014,96,0,3,124,0,10,64
49,6566,1954,PG,relationship,72550.0,08-11-2012,39,0,2,1319,0,28,61
50,8614,1957,PG,Single,65486.0,12-05-2014,29,0,1,507,0,17,58
51,4114,1964,PG,relationship,79143.0,11-08-2012,2,0,0,1693,0,29,51
52,1331,1977,PG,Single,35790.0,02-01-2013,54,0,1,72,0,7,38
53,2225,1977,PG,Single,82582.0,07-06-2014,54,0,0,1617,3,21,38
54,9381,1978,PG,relationship,66373.0,12-06-2013,57,0,2,606,0,23,37
55,6260,1955,PG,relationship,82384.0,19-11-2012,55,0,0,1957,2,27,60
56,10383,1966,PG,Single,70287.0,02-04-2013,30,0,0,1093,1,21,49
57,7437,1988,PG,Single,27938.0,28-04-2014,31,0,1,29,0,6,27
58,8557,1982,PG,Single,52247.25135379061,17-06-2013,57,0,1,46,0,7,33
59,8375,1968,PG,relationship,55954.0,03-03-2014,63,0,1,518,0,19,47
60,6853,1982,PG,Single,75777.0,04-07-2013,12,0,0,1438,3,21,33
61,3076,1975,PG,relationship,66653.0,07-09-2012,18,0,2,612,0,22,40
62,1012,1952,PG,Single,61823.0,18-02-2013,26,0,1,884,0,24,63
63,6518,1951,PG,Single,67680.0,11-06-2013,8,0,1,606,0,19,64
64,4137,1948,PG,relationship,70666.0,06-12-2013,29,0,0,1076,0,16,67
65,8082,1971,PG,relationship,25721.0,21-05-2013,75,0,1,34,1,5,44
66,1386,1967,PG,relationship,32474.0,11-05-2014,0,0,2,11,0,4,48
67,9369,1979,PG,Single,88194.0,19-03-2014,19,0,1,1274,3,32,36
68,4477,1958,PG,relationship,69096.0,27-09-2013,4,0,1,653,0,18,57
69,1357,1970,PG,relationship,74854.0,08-04-2013,90,0,3,1562,0,19,45
70,1402,1954,PG,relationship,66991.0,11-09-2012,1,0,0,1253,0,21,61
71,10629,1973,PG,relationship,52247.25135379061,14-09-2012,25,0,1,109,0,9,42
72,6312,1959,PG,relationship,65031.0,17-03-2013,29,0,1,863,0,30,56
73,8132,1975,PG,relationship,60631.0,05-04-2013,88,0,2,661,1,24,40
74,1050,1952,PG,relationship,28332.0,30-04-2014,58,0,0,65,0,8,63
75,5846,1977,PG,Single,40246.0,19-12-2012,68,0,1,13,0,4,38
76,1859,1972,PG,relationship,75251.0,27-08-2012,34,0,0,1890,1,19,43
